Product/s,Application/s,Component/s,Region(s),"Measures, Solutions & Updates",Summary,Description,Customer/s
TLE4921-5U,ATV_BODY_BODY_CONTROL&MULTIPLEXING,,AP,"the leakage current of filter capacitor at higher temperature was understood to be the cause and customer was advised to lower the capacitance from existing 470nF to 220nF(or 100nF if required). 
But Customer has now found that the epoxy was at fault. The same test at 150degC with a different epoxy does not have missing pulses and duty cycle is also maintained.",Missing pulses at 150degC,Customer is reporting missing output pulses at 150degC in some samples during the 144hour testing at 150degC,ZF
BTS50060-1TEA,ATV_PWT_ENGINE_MANAGEMENT,,AP,,BTS50060-1TEA SCB/SCG issue,"customer, MHE issued strange waveform when SCB, SCG test.
visit & measure waveform & explain BTS50060-1TEA is in operation",DENSO
TLE4941PLUSC,ATV_CHASSIS_ABS/BRAKING,,AP,Provided an excel sheet to the customer with calculations on required over voltage as well impact of external components on output voltage and supply voltage. Please see attached.,schematic for over-voltage endurance @ 40V,Customer wanted recommendations for external components required for passing a specific 40V pulse as per Japanese OEM.,CONTINENTAL
BTS3110N,ATV_PWT_ENGINE_MANAGEMENT,,AP,Please refer attachment for solution and updates.,Field failure of BTS3110N in ignition control unit in two wheeler,EOS observed at device input section. Please refer attachment for details,ARROW
BTS3125EJ,ATV_BODY_BODY_CONTROL&MULTIPLEXING,,AP,"Depends on load and ESD model shared by customer, suggested BTS3125EJ device for this application.

-,Use 47nF-68nF capacitor across output to pass direct discharge 8KV ESD (RESD=2K,CESD=330pF) pulse
-,As customer is using FWD, EAR is not too much concern",Customer reported that they had FAR with HITFET so they need recommnedation for HITFET+ for selection,Customer had failures with HITFET devices therefore they asked Infineon recommendations and device selection for HITFET+. This was critical for us to replace STM device and gain customer confidence with HITFET+.,DABO
BTS7002-1EPPBTS7004-1EPPBTS7006-1EPPBTS7008-1EPP,ATV_BODY_POWER_DISTRIBUTION,,JAPAN,"BTS700x-1EPP indicates the distinguish from OCSD, dOTSD, aOTSD by the IIS value for debugging purpose._x000D_
See attached more details.",IIS(FAULT) behavior,"Customer observed 3 levels of IIS(FAULT) in case of overload shutdown._x000D_
They need to understand why they observed this phenomenon._x000D_
Please check why customer observed 3 levels of IIS(FAULT) behavior._x000D_
_x000D_
",AVNET
BTS7002-1EPP,ATV_BODY_LIGHTING,,EMEA,"In principle the BTS7002-1EPP will also work like described in the datasheet at Vs=19V. But since the device is speicified until 18V we could not guarantee (fromally) anything above this value._x000D_
We could ask the customer which Parameters (why?) are the most critical one for him and then have a deeper look at them.  ",Extended Operating voltage range and parameter deviation,"APTIV uses the BTS7002-1EPP for the Ford Trailer module TTLM gen.2. Ford specifies the normal operating voltage range up to 19V. In the data sheet we specify the normal range up to 18V and write ""Parameter deviations possible"" at >18V. They want to know the effected parameters and which deviations they have to take into account for 19V.",ZF
TLE5046IC-PWM-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"[1] The Visio file is almost 100% correct, the only mistake is on the screenshot ""visio_1_error"" I attached.. The first output switch will happens when the signal crosses the zero, and not when the signal crosses the threshold. The second output pulse is correct.  _x000D_
_x000D_
[2] When a speed temperature watchdog is triggered, the sensor goes back into uncalibrated mode, BUT the amplitude (and hence also the switching hysteresis) are NOT reset. Please see the attachment ""watchdogs"".",Thermal noise hysterisis and tolerance,"Denso asks question how much is hysterisis of thermal noise._x000D_
_x000D_
I discussed with Patricia and she answered to me that the hysterisis is 25% of total amplutude after calibration completion._x000D_
_x000D_
I answered this to Denso but they said they couldn't understand clearly._x000D_
So I prepared timing chart to help them to understand easiliy._x000D_
_x000D_
My request for you is to do double check and give me your comment for my confirmation._x000D_
So could you please check following description and attached visio file,_x000D_
and give me your comment?_x000D_
_x000D_
_x000D_
[1]Please check ""PWM_Hysterisis1"" sheet._x000D_
This is my understanding._x000D_
The point is..._x000D_
_x000D_
#When IC detect more than 2 x dBlimit amplitude, the first output pulse comes._x000D_
#When calibration completes, zerocross point is fixed and also hysterisis is set (25% of full amplitude)_x000D_
#If the thermal noise excesses this hysterisis, the noise output pulse comes._x000D_
But infineon totally considered thermal noise effect and decided the spec of hysterisis(25%). Infineon thinks this hysterisis is sufficient to prevent wrong pulse due to thermal noise._x000D_
(This block diagram is exmaple, so I expresses the noise which excesses hysterisis.)_x000D_
#If rise edge excesses hysterisis, but fall edge doesn't excess hysterisis, only 1 pulse comes. Otherwise, 2 pulse come._x000D_
_x000D_
[2]Please check ""PWM_Hysterisis2"" sheet._x000D_
This chart expresses the situation what temperature watchdog activetes._x000D_
This is my understanding._x000D_
The point is... _x000D_
_x000D_
#If temperature change excesses threshold, the IC becomes uncalibrated mode again and search all input signal for full range._x000D_
#If temperature watchdog activates, the zerocross and hysterisis setting also disappears._x000D_
So after temperature watchdog happens, the hysterisis for thermal noise is equivalent with dBstartup(2xdBlimit)_x000D_
As  long as the noise excesses 2xdBlimit amplitude, there's no output due to thermal noise._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",NONE
BTS7004-1EPP,ATV_BODY_POWER_DISTRIBUTION,,JAPAN,See attached file,BTS7004-1EPP Demo board manual,"Customer want to purchase BTS7004-1EPP Demo board._x000D_
They want to see what is BTS7004-1EPP Demo board in advance._x000D_
Please show BTS7004-1EPP Demo board manual or document.",ARROW
BTS7004-1EPP,None,,EMEA,"BTS7004-1EPP is tested driving an E-Load set as current source with a series resistor. The series resistor is beneficial for the output current, especially when increasing the resistor. The resistance range tested goes from 25 mΩ up to 1 Ω. _x000D_
The E-Load in Resistance Mode is tested. The resistance is chosen in order to guarantee IL = 35 A. The behavior of the output current is the same of Current Mode._x000D_
_x000D_
BTS7004-1EPP is tested driving an E-Load set as current source of 35A and 40A with a series resistor._x000D_
The series resistance range tested goes from 50 mΩ up to 200mΩ. _x000D_
Thermal simulation during the switch-on and switch-on are performed._x000D_
For 35A and 40A thermal simulation are performed at 25⁰C and 85⁰C._x000D_
",Glow Plug Controller GCU5,"Bosch reported malfunction/errors during device calibration and overload test at room temperature and high temperature, when using E-load._x000D_
_x000D_
Bosch asked for lab measurements in the following conditions:_x000D_
-Using a low impedance power resistor in series with the Eload, e.g. 50mOhm;_x000D_
-Setting the E-load to pull already with V_OUT <2V no current / less current;_x000D_
-Setting the E-load in the ""Resistance"" mode. Bosch has to make sure that 35A actually flow in as Output current._x000D_
_x000D_
Bosch asked for thermal simulations in the following conditions:_x000D_
-IL = 35A and IL = 40A;_x000D_
-Rseries = 50m/100m/200m Ohm",DABO
SAK-TC233L-32F200F_AB,ATV_SAFETY_DRIVER_ASSISTANCE_SYSTEMS,autosar/mcal_MC_ONLY,AP,"Closed as per report attached_x000D_
",MCAL SPI not able to transmit during Async transmit,"Asynchronous communication of SPI is not working as expected._x000D_
When 16 byte data transmitted via asynchronous communication, the first byte is put by the DMA to QSPI TXFIFO and DMA TCOUNT (Transfer Count) is getting reduced by 1 count. We are getting the DMA TX ISR successfully._x000D_
The LAST status Bit is also getting to indicate the successful TX of the first byte, but DMA is unable to start the next byte transfer after the first transfer._x000D_
_x000D_
Product selected as A1G as A2G could not be selected_x000D_
_x000D_
A2G MCAL Package used by Delphi TCI:_x000D_
MC-ISAR_AS42x_AURIX2G_TC39xA_BASIC_REL071_V0040_x000D_
Asynchronous SPI Handler is used by Delphi_x000D_
OS and other ECU configuration is done using vector DaVinci configurator",AVNET
SAK-TC233L-32F200F_AB,ATV_SAFETY_AIRBAG/PASSIVE_RESTRAINT_AIRBAG_ECU,asclin/sent_MC_ONLY,AP,Closed as per attached report,MCAL LIN Header error issue ,"2 LIN channels used_x000D_
Occupant detection system - Channel-1_x000D_
Seat belt pre tension system - Channel-2_x000D_
When header error inserted into channel-1 & the same is detected with 90% to 95% accuracy & reported to the application. Some times it is inconsistent & will not be detected._x000D_
When header error inserted into channel-2, it is not at all detected in the 1st occurrence._x000D_
When error inserted continuously, some times the 5th occurrence of the error, some times 3rd occurrence or sometimes the 10th occurrence is detected & reported to the application._x000D_
The error detection behaviour is very inconsistent for this channel.",ZF
SAK-TC233L-32F200F_AB,ATV_PWT_ENGINE_MANAGEMENT,autosar/mcal_MC_ONLY,AP,Closed as per attached report,MCAL SPI Transmission does not happen completely,"SPI Transmission does not happen completely. DMA and PT interrupt comes before the completion of the whole data (just around the end of the first byte) and CS pin is pulled high. Occasionally complete transmission can be seen, but transmission is incomplete for the most part.",NONE
SAK-TC233L-32F200F_AB,ATV_CHASSIS_ABS/BRAKING,autosar/mcal_MC_ONLY,AP,Closed as per attachment,"MCAL package ""REL302"" issue with qualification","MCAL release package “REL302” has been integrated at ZF-TRW’s Global A project._x000D_
IFX Released MCAL patch release package “REL302_MCU_PATCH” for REL302, covering PLL errata and CCUCONx register update_x000D_
•0000051018-683 Errata PLL_ERAY_TC.001, PLL_TC.005_x000D_
•0000052363-197 CCUCONx registers update_x000D_
There is disclaimer in REL302_MCU_PATCH release notes stating “Patch is not recommended to be used for production code”_x000D_
ZF-TRW needs Production quality of patch package “REL302_MCU_PATCH” to use in production program",ARROW
SAK-TC233L-32F200F_AB,ATV_CHASSIS_ABS/BRAKING,autosar/mcal_MC_ONLY,AP,Fixed as per report attached,MCAL SPI AS4XX_AURIX_TC23X_AB_PB_BASE_V300 ,"SPI Transmission does not happen completely._x000D_
If a breakpoint is SET on one of the DMA channel handing the SPI Rx Interrupt, it is observed data transfer happening completely_x000D_
If a small delay is introduced on the DMA channel handing the SPI Rx Interrupt, it is observed data transfer happening completely",DABO
TX98-4,None,,AP,Recommendation is to connect NC pins to ground in order to eliminate effect of ESD. floating them can cause an ESD related issue .,NC pins behaviour on TLE984x,what is the behaviour of NC pins not connected in TLE984x ,AVNET
TX98-4,None,,AP,"Design of motor is not good from customer side with lots if variation on current line, mechanical vibration also adding up to the noise on the current line._x000D_
comparision done with reference motor and customer motor ._x000D_
",ADC measurement issue with TLE9879,Customer new design BLDC motor is having issue with ADC measurement for current using T12 Period match to trigger timer3,ZF
TLE4929C-XAN-M28,ATV_PWT_ENGINE_MANAGEMENT,,GLOBAL,"James printed pdf, did Review and send back the scanned Review._x000D_
Klaus added document to iSOLAR",Please review the document and make proposals for better English,"Hi James,_x000D_
Andrea told me to create an iSOLAR-ticket and you will Review my document I plan to share on www._x000D_
Please use the comment-function to give Feedback. I will rework my document afterwards.",NONE
BTS7004-1EPP,ATV_BODY_POWER_DISTRIBUTION,,JAPAN,File as attachment,Rds(ON) Production data,"Customer want to refer actual performance of Rds(ON) accuracy. _x000D_
 They requested to provide some lot's Rds(ON) production data. _x000D_
 Please provide the flowing parameter data. _x000D_
Rds(ON)_25_x000D_
Rds(ON)_150",DABO
BTS7004-1EPP,ATV_BODY_POWER_DISTRIBUTION,,JAPAN,See attached file,Kilis Production data,"Customer want to refer actual performance of Kilis accuracy._x000D_
They requested to provide some lot's Kilis production data._x000D_
Please provide the flowing parameter data._x000D_
Kilis07_x000D_
Kilis09_x000D_
Kilis13_x000D_
Kilis16_x000D_
Kilis18",AVNET
BTS7008-1EPP,ATV_BODY_POWER_DISTRIBUTION,,JAPAN,Errata Sheet available and attached.,Does BTS7008-1EPP ES sample can be used for customer evaluation?,"Customer want to start BTS7008-1EPP evaluation on their PCB._x000D_
However, we can get ES samples as of today._x000D_
Does ES sample has any errata or parameter deviations?",ZF
BTS50010-1TADBTS50015-1TADBTS50020-1TADBTS50025-1TADBTS50025-1TEABTS7002-1EPPBTS7004-1EPPBTS7006-1EPPBTS7008-1EPPBTS7008-2EPP,ATV_BODY_POWER_DISTRIBUTION,,JAPAN,Solder void rate vs Rthja report is attached.,How solder void rate affects for Rthja,"Please provide “Solder voids rate vs Rthja” graph or something alternative._x000D_
_x000D_
Some customers are hesitate to use exposed package device._x000D_
They urged that they cannot observe solder connection at the joint point between PCB and device’s exposed pad._x000D_
Especially, they aware the possibility of the voids at that solder connection._x000D_
Datasheet describes Rthja value. They insists that the voids makes more higher Rthja value._x000D_
The voids at the soldering is customer’s assembly issue. However, we have to encourage to use our products to customers._x000D_
_x000D_
To eliminate customer’s awareness, the graph of “Solder void rate vs Rthja” can convince customer that possible voids rate would not affects to Rthja so much._x000D_
_x000D_
Thank you for your support.",DABO
BTN8982TA,None,,JAPAN,This is closed.,Tj conditions of the plots in the ap note,"Question:_x000D_
Regarding the application note Rev. #0.5 p.43 plots (Figure 35 and Figure 36), would you inform me the temperature range?_x000D_
Is it from -40°C to 150°C?_x000D_
_x000D_
NOTE:_x000D_
It appears there is no temperature information for the plots._x000D_
the application is PTG._x000D_
_x000D_
Answer: _x000D_
Yes, it covers the temperature from - 40°C to 150°C._x000D_
In addition, all switching times are specified from -40°C to 150°C in our new application note. For the moment, it has already been in release loop and will be released soon.",AVNET
TLE5012B_E1000,ATV_SAFETY_DRIVER_ASSISTANCE_SYSTEMS,,JAPAN,"Hello,_x000D_
_x000D_
attached are slides which show the 3 technologies comparing accuracy vs. T._x000D_
Best Performance should have TMR, but we still will make further improvements in TLE5502. _x000D_
AMR has only good performance in a fully compensated mode. For 1-point calibration, You see drift over T for AMR which comes from offset drift._x000D_
  ",MR Sensor Over temperature comparison data,"Hello _x000D_
_x000D_
I’m promoting our angle sensor line up to various customers in Japan._x000D_
_x000D_
I try to replace from Resolver to MR angle sensor for Motor Position customer. _x000D_
_x000D_
Fortunately, IFX has all MT technology._x000D_
Almost customers asked me the comparison of over temperature data for GMR vs. AMR vs. TMR._x000D_
_x000D_
TMR is best technology for over temperature spec, however we do not know how is better TMR than GMR/AMR._x000D_
Do you have a comparison data of over temperature for 3 MR technologies?_x000D_
Target : AMR/GMR/TMR_x000D_
X-axis : Temperature_x000D_
Y-axis : Residual Angle error_x000D_
_x000D_
We have the comparison data with input magnetic field as attached._x000D_
However, I do not have the over temperature comparison data which almost customer needs._x000D_
_x000D_
Thanks for your support._x000D_
_x000D_
Best Regards,_x000D_
T. Kondo_x000D_
_x000D_
",ZF
TLE5046IC-AK-ERRTLE5046IC-AK-LRTLE5046IC-PWM-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"The VDD limits specified in datasheet are relative to the voltage between the pins, not the voltage given by the ECU. Please refer to application circuit in page 2. So I do not see any problem.",Correct Understanding for Undervolatage behavior,"Please let me confirm my understanding for undervoltage behavior._x000D_
Could you please read my following summary and give me your feedback whethey my recognition is correct?_x000D_
_x000D_
[1]After power on, IC needs to acheive Vrel threshold to enter normal mode(output becomes Ilogh current)_x000D_
Until voltage reaches to Vrel, the output current becomes IError._x000D_
_x000D_
[2]During power up time, the output current is IError._x000D_
So the maximum current is 3.8mA._x000D_
If external RM register value is maximum 50Ohm, there's possibility that 0.19V voltage drop._x000D_
_x000D_
[3]That means even if we supply 5.2V to IC, because of that voltage drop, _x000D_
 the voltage which is suplied to IC becomes 5.01V._x000D_
If this situation occurs, the IC can't enter normal mode permanently._x000D_
 So we should inform customer that they should supply at least 5.39V to consider such voltage drop if they use 50Ohm register._x000D_
_x000D_
[4]But above case is considering extremly worst case._x000D_
_x000D_
Vreset -> 3.5V (worst case)_x000D_
Vhys -> 1.7V (worst case)_x000D_
IError -> 3.8mA (Worst case)_x000D_
_x000D_
The probability that all worst case happens simultaneously is very low._x000D_
So 5.39V is very conservative value actually._x000D_
_x000D_
[Conclusion]_x000D_
But as long as there's small possibility,_x000D_
we should inform to customer to supply more than 5.39V to gurantee correct IC behavior._x000D_
_x000D_
_x000D_
",DABO
TLE5109A16D_E1210TLE5309D_E1211TLE5501_E0002,ATV_SAFETY_DRIVER_ASSISTANCE_SYSTEMS,,JAPAN,"Hi Takamitsu,_x000D_
_x000D_
question 1,2, & 3 can be answered together: _x000D_
_x000D_
An angle error can occur at all angles, also on 90°, 180°. Typically, one reason for an angle error is an Offset or Amplitude mismatch of the raw signals (sin / cos) .This results in a periodic angle error which affects the complete output range. _x000D_
_x000D_
Question 4:_x000D_
_x000D_
Our specification is always +/- max.angle error (symmetric) in our understanding. Min. angle error is not specified.  _x000D_
",IFX xMR sensor for replacement from resolver,"Hello,_x000D_
_x000D_
I visited Melco MG group yesterday._x000D_
To purpose of visit is to replace from Resolver for Motor Generator to _MR angle sensor._x000D_
_x000D_
Melco MG group has never used Semiconductor sensor in past._x000D_
They’re interested in our solution, but they still have the some simple question about IFX _MR sensor technology._x000D_
_x000D_
I summarized their question into the slide set.(4 items)_x000D_
Please reply back for these 4 topics. _x000D_
We will keep watching this project continuously._x000D_
",AVNET
TLE5046IC-AK-ERR,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"[1]: see attachment ""BE SPI interface TLE5046""_x000D_
[2]: see attachment ""BE_SPI_App_Note_TLE5046_review_6_4_2018.pdf""",BE_SPI interface requirement,"SWS is using Speed evaluation kit to check internal ADC signals._x000D_
(And they have already succeeded to monitor those signals)_x000D_
_x000D_
And they think it's also very useful to check temperature by monitoring to use BE SPI._x000D_
_x000D_
Now they are just staring to prapare their test equippment._x000D_
And they want to implement control of this BE SPI and use this function during their test._x000D_
_x000D_
So could you prepare detail information material of BE SPI as same as transmission speed sensor?_x000D_
(I attach the TLE5028x slide which Patricia provided to me before)_x000D_
_x000D_
They require this information until end of this month._x000D_
But I talked with Simone that this is severe._x000D_
_x000D_
So I propose following approach._x000D_
_x000D_
[1]Only prepare the information how to control and access BE SPI interface._x000D_
(Voltage value, timing, etc)_x000D_
--> end of this month_x000D_
(The information which is needed for SWS to start building their test equippment)_x000D_
_x000D_
[2]Prepare more detail to include the address map, other bit detail, etc.._x000D_
--> please give me your opinion when you can prepare._x000D_
     (end of March, etc..)_x000D_
",ZF
TLE5046IC-PWM-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"1) The value in the table is the one implemented in the design and the one to be considered by the ECU. The 32 came from historical specs value. As you saw the difference is very small. _x000D_
_x000D_
2) _x000D_
- We have a counter on 17 bits -> max value is 131071._x000D_
- Clock period is 1/8.65e6 = 1.1561e-7s, but the counter counts only 1 time every 64 clock periods_x000D_
- We have +1 on the counter every 1.1561e-7*64 = 7.39904e-6s_x000D_
- The number needed to reach 150ms is 150e-3 / 7.39904e-6 = 20272_x000D_
- 20272 < 131071 so we can manage to count till 150ms_x000D_
_x000D_
3) 1 is correct_x000D_
_x000D_
4) 1 is correct",Standstill pulse behavior questions,"Denso has 4 questions about Standstill._x000D_
Could you please help to answer each questions?_x000D_
_x000D_
[1]Pulse Width_x000D_
Datasheet Figure 19 describes ""tstop = 32 x tLR""._x000D_
32 x tLR(38-45-52us) = 1.216-1.44-1.664ms._x000D_
_x000D_
But datasheet Table7 describes 1.232-1.4-1.656ms._x000D_
Why there's such subtle difference?_x000D_
(Please check attached ppt page2)_x000D_
_x000D_
[2]How do IC control Tstop(150ms) period?_x000D_
For example, This period is controled by counter inside Chip and _x000D_
Frequency is 8.65MHz. So there's 1300000 count up._x000D_
_x000D_
Denso would like to know how to calculate this long time._x000D_
(Please check attached ppt page3)_x000D_
_x000D_
[3]If the wheel rotate only once a time during standstill, and after that wheel stops revolving again, which is the base point of 150ms calculation, pre-low falling position or DR-R rising position?_x000D_
(Please check attached ppt page4 and answer me ① or ②)_x000D_
_x000D_
[4]In regards with normal pulses(twarning, DR-R, DR-L, etc), first Pre-low period is inserted._x000D_
In regards with standstill, is it also included in common state machine?(Means before tstop pulse rising, Pre_low period is inserted)_x000D_
 (Please check attached ppt page5 and answer me ① or ②)_x000D_
_x000D_
If there's any unclear points, please let me know._x000D_
",ARROW
TLE5046IC-AK-ERR,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"Definition:_x000D_
-Hard error: permanent hardware failure that cannot be recovered_x000D_
-Soft error: temporary hardware failure that can be recovered, typically caused by a physical particle (e.g. alpha, neutron), passing trough a critical volume of the device_x000D_
_x000D_
Effects on the TSR:_x000D_
If the failure is related a TSR violation, then in case of a hard error the TSR is permanently violated, in case of soft error is violated only temporary and then the sensor recovers its functionality.",Hard Error VS Soft Error ,"Please let me confirm the difference between HardError and SoftError just in case as you explained to me before._x000D_
_x000D_
[1]Hard Error_x000D_
If IC becomes certain FFM(TSR), IC can't recover as long as once a customer resets that._x000D_
_x000D_
[2]Soft Error_x000D_
Even if IC becomes the FFM(TSR), IC recovers by itselfs with some interval spontaneously._x000D_
_x000D_
(Example)_x000D_
#Parmanently, the output pulse number is more than 102%. -> HardError_x000D_
#Temporary, the output pulse number is more than 102%, but it recovers 100% after a while. -> SoftError_x000D_
_x000D_
_x000D_
Is my recognition correct?_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",DABO
TLI4970-D025T4,MULTIPLE,,EMEA,See comment and upload 05/Feb/2018,"Automotive qualification -> TLE4970, conti asks for accuracy","Für den TLE4970-D025T4 hätte Conti jetzt ganz konkrete Fragen, um sämtliche Verwirrungen im Datenblatt zu klären:_x000D_
•	Beispielrechnung für den Gesamtfehler über Lebensdauer bei 1 A und bei 20A, jeweils für den Tempraturbereich -40°C …+125°C (Temperatur der Lötstellen)._x000D_
•	Eine Aussicht, wann es denn das TLE Datenblatt gibt._x000D_
",AVNET
TLE4955,ATV_PWT_TRANSMISSION,,EMEA,2018_03_09: results of simulations presented to Conti and slides provided,TLE5555 simulation results needed,"As discussed, Conti needed simulation results on TLE5555. Se attachment for details._x000D_
Update: 31.1.2018:_x000D_
info to Conti: ""simulation results expected for end february_x000D_
only one wheel of NAG3 -> iBB top or side read?_x000D_
no temperate effects implemented -> no temperature drift in stand still""_x000D_
reply from Conti: top read preferred_x000D_
",ZF
TLE5046IC-AK-ERR,ATV_CHASSIS_ABS/BRAKING,,JAPAN,Test finished,Test,Test(Please Ignore),DENSO
TLE5046IC-AK-ERR,ATV_CHASSIS_ABS/BRAKING,,EMEA,"The following simulations were performed: magnetic frequency from 2.5kHz to 7kHz with a step of 500Hz. Typical temperature and field amplitude (dBx = ca. 4mT), always positive rotation._x000D_
_x000D_
These are the results:_x000D_
-2.5kHz: speed pulse + 2 bits sent_x000D_
-3kHz: speed pulse + 1 bit sent_x000D_
-3.5kHz: speed pulse sent completely_x000D_
-4kHz: speed pulse sent completely_x000D_
-4.5kHz: speed pulse sent completely_x000D_
-5kHz: speed pulse sent completely_x000D_
-5.5kHz: speed pulse sent completely_x000D_
-6kHz: speed pulse sent completely_x000D_
-6.5kHz: speed pulse sent completely_x000D_
-7kHz: only 2*dBlimit speed pulse is sent ",Simulate SystemC TLE5046AK with 4.5kHz,"Simulate / Analyze Impact of Input Frequency min. up to 4.5kHz. Best case, up to a frequency when the protocol (speedpulse) is disrupt._x000D_
Analyze 6kHz",CONTINENTAL
BTS50015-1TAD,None,,EMEA,done,test,test,ARROW
TLE5046IC-PWM-R100,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"The protocol generator VHDL module inside our digital core is generating all the timing for the output protocol: the different pulse lengths and the tpre-low time as well. Basically it is a state machine where a counter is counting the time the state machine should stay in a specific state. So to answer your question, yes the generation mechanism is the same.",Denso Pre-Low length question,"Denso has question._x000D_
_x000D_
Should they think all pulse length combinations are generated by same algorithm?_x000D_
  The reason why they ask this question is that they are thinking their test method now, and so far they are planning to measure DR-L/R pulse length._x000D_
  They recognize that we measure warning pulse length during BE test, so_x000D_
it is covered by our test._x000D_
  But they would like to judge whether they also should measure Pre-low length._x000D_
  If the generation algorithm is quite different with Pre-low and Warning, they think we can't be sure that Pre-low length is no problem even if we measure the warning pulse length._x000D_
  So this question is coming._x000D_
  _x000D_
  If the generation algorithm of Pre-low length is different with that of other pulse length, I need to consider how to answer this question with you._x000D_
  In this case, I would like to discuss with you how to explain this point to Denso._x000D_
_x000D_
  On the other hand, if all pulse width includes pre-low length are generated by common algorithm, I think we can answer as follows to Denso._x000D_
_x000D_
 ""we use common algorithm to generate each pulse and Pre-low length( minimum 45us. and other is multiple x2 [90us], x4[180us]....) by digital block._x000D_
 First we check digital block by scan test. (We can guarantee the digitan algorithm function)_x000D_
 Second, we only check warning pulse (45us H pulse) at BE test._x000D_
 This is the narrowest pulse, and if we can monitor this pulse through output pins, the other pulse and Pre-low length are also OK""_x000D_
_x000D_
 If possible, I would like to close this question be above answer to Denso._x000D_
 Could you please give me your comment?_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",
SAK-TC233L-32F200F_AB,ATV_BODY_POWER_DISTRIBUTION,application lead adas_MC_ONLY,EMEA,closed again,"ZF-test by it 2, dmz to neuron, complex","test by it 2, dmz to neuron, complex_x000D_
edited description 1",
SAK-TC233L-32F200F_AB,None,,EMEA,"Test by IT - Please Ignore_x000D_
 -updated in Neuron 2 -",ZF - Test by IT - Please Ignore - updated,"Test by IT - Please Ignore_x000D_
- updated - ",ARROW
TLE4941C,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"The solution is in ""SWS_TLE4941C_Issue_answer_from_AE_to_FAE.pptx """,TLE4941C output current control circuit questions.,"SWS(OEM) is asking questions for the material which we sent on 2013._x000D_
I think this is very tough question.._x000D_
_x000D_
_x000D_
First, please check attachment._x000D_
This material is made by previous HQ guy and IFJ QM guy.(But that QM guy has already left Infineon... And Takayuki also doesn't know the detail) _x000D_
_x000D_
The HQ guy name is ""Esmark Kai""._x000D_
_x000D_
This material explains how does TLE4941C control the output current High (14mA) and Low (7mA) by using 2 MOSFET and Protect Diode._x000D_
_x000D_
Maybe Esmark Kai provided circuit picture and explained bahavior to our QM guy and QM guy made this slide._x000D_
_x000D_
_x000D_
SWS is asking some questions for this slide._x000D_
So could you please try to ask Esmark kai to other expert guy to get the information?_x000D_
_x000D_
[1]Page3 lower 2 graphs_x000D_
This page describes 2 broken case of FET(Q140 and Q196)._x000D_
They would like to know how does break Q140 and Q196 for the output voltage case1 and case2 respectively._x000D_
Could you please tell me to use page2 picture how Q140 and Q196 break for these 2 cases?_x000D_
_x000D_
[2]Page4 upper graph_x000D_
They would like to know even if PD breaks, the output voltage keeps normal._x000D_
This graph looks it keeps normal output, but could you please let us check our understanding is correct?_x000D_
_x000D_
[3]Page4 lower leftside graph_x000D_
They would like to know the behavior of lower leftside graph_x000D_
""FET(Q140/Q196)&PD are broken simultaneously case1""._x000D_
_x000D_
They would like to know this graph means low voltage rises up, so_x000D_
""High voltage - Low voltage < 0.7V"",_x000D_
_x000D_
Or_x000D_
High voltage becomes lower, so ""High voltage - Low voltage < 0.7V"",_x000D_
Or_x000D_
Both voltage chnages, so ""High voltage - Low voltage < 0.7V""._x000D_
_x000D_
[4]Are there any possibility that following 2 cases occur because of any failure(FET or Protection Diode or other parts)?_x000D_
#The only high current level becomes unstable (Out of spec) _x000D_
 #The only low current level becomes unstable (Out of spec)_x000D_
_x000D_
",DABO
TLE4941C,ATV_CHASSIS_ABS/BRAKING,,JAPAN,"As discussed on the phone TLE4941C has no SASR or FMEDA. _x000D_
Hence there is no TSRs and FFMs defined for it. _x000D_
The current levels are stable in the sensor operating range but of course they can become unstable due to random failure in the silicon (this can always happen in all our IC, take 5045/46 as an example). ",The functional failure check of TLE4941C,"SWS asks us the functional failure of TLE4941C._x000D_
(OEM asks them)_x000D_
_x000D_
[1]They would like to know whether there's following functional failure mode._x000D_
#The only high current level becomes unstable_x000D_
#The only low current level becomes unstable_x000D_
_x000D_
First, do you have SASR of TLE4941C?_x000D_
If you have, is it possible to share that to me?_x000D_
If there's above functional failure, those are described in SASR._x000D_
_x000D_
If there's no SASR, could you please confirm this question?_x000D_
_x000D_
",AVNET
